air_pressure,air_temp,avg_wind_speed,relative_humidity
922.57,69.368,2.6395892,19.95
924.14,55.562,3.243563,90.66
919.74,57.506,1.9685072,37.44
924.05,47.246,13.980875,16.71
920.59,42.62,5.256809,36.79
917.8,66.002,2.2816788,32.06
919.36,48.74,2.5277422,90.7
918.3914977,73.16857813,1.63004495,11.81458456
911.7,47.804,3.3106712,90.09
920.93,75.434,2.1474624,15.09
922.698232,60.27479795,3.300545669,19.8183735
922.9020623,60.81012419,1.906562783,8.3099531
920.4057949,49.68650273,10.22502142,23.07243455
924.3902265,66.09908715,9.650178615,13.09353397
916.4,50.666,1.006623,91.15
913.52,62.51,8.3214168,40.25
907.99,41.36,12.2584312,89.68
917.65,84.272,1.0513618,16.68
920,74.894,6.9792528,27.36
915.49,59.324,3.3777794,66.45
922.89,63.176,4.4067718,31.74
918.3,64.004,6.6213424,8.73
918.14,79.106,2.2816788,20.13
918.3095406,75.05238781,2.013337411,10.67546224
923.8852213,58.60710231,11.21570137,17.3082965
921.54,45.284,8.4108944,77.13
920.627327,78.66944499,2.901135951,18.10408267
917.24,45.482,7.2253162,55.88
918.88,60.692,4.362033,34.77
923.6,40.622,1.7224438,79.26
921.1268634,48.61428416,11.3135682,28.24334024
921.6140613,60.53349648,4.472759068,11.81543762
923.7574672,70.92150085,5.090498516,17.41592061
919.0364128,74.21498778,2.924410013,13.41607864
915.5,68.81,3.5567346,50.36
917.8075395,79.46219997,1.465764042,14.86957859
918.71,40.46,16.1283374,79.78
916.31,79.502,6.71082,24.16
914.7,63.572,8.5674802,51.62
917.86,66.776,1.5211192,51.97
920.4809981,65.5192357,3.77668495,22.89603974
919.28,72.644,4.7199434,47.51
915.6,56.282,3.1988242,89.95
918.9,76.874,2.8632832,32.28
917.4,70.322,6.1292156,49.43
921.65,62.87,10.7149426,21.11
915.61,69.314,10.9162672,8.3
915.8361258,70.55233656,3.337398212,10.91538616
922.18,42.476,7.1358386,84.08
923.5521786,71.09229021,3.942863916,13.30978526
921.4455101,62.93208054,9.134018007,16.54143045
920.85,57.398,9.1267152,13.49
920.02,49.946,8.388525,50.36
921.34,62.402,11.8334126,20.63
916.5815039,75.22466243,6.690025815,15.48874732
922.32,55.526,9.395148,91.12
917.08,63.968,3.4896264,22.56
920.0421425,65.20178968,3.626740706,24.3668217
920.5,40.838,5.5699806,70.31
916.45,74.318,1.0513618,24.75
915.4,45.392,11.2070694,90.47
919.55,59.09,20.8930196,12.86
917.6,74.93,11.6544574,53.83
921.3913192,68.22350765,4.538617584,10.45281845
917.56,68.612,7.605596,40.14
923.9079209,72.72259406,2.611461343,16.69798676
918.1,73.454,1.454011,19.25
919.6158852,71.29991157,4.266622538,14.42305345
914.06,68.63,3.9817532,59.21
915.2653904,80.31328745,1.381721488,19.29905188
923.054433,65.16357022,3.544045494,11.99979093
914.83,74.57,1.4092722,47.51
916.65,89.402,1.7224438,12.05
919.47,84.578,3.131716,16.74
923.5966068,58.38059785,10.63627255,17.99087636
915.1019014,73.21167026,1.359570338,22.7612053
919.71,70.286,2.796175,12.21
916.9,68.378,0.6934514,20.19
923.78,64.454,4.0041226,10.97
922.85,63.086,15.434886,15.67
920.4,59.54,1.9461378,43.63
920.5277587,60.43336922,12.48279264,18.13637262
921.4611652,63.11632857,9.38454164,16.22531864
923.82,64.364,2.9751302,22.19
915.73,45.734,7.3147938,90.61
917.15,49.37,10.2004464,34.7
922.7542207,50.31093889,13.45038354,28.34741392
920.6319977,68.61954067,3.9575881,15.45566476
917.0108508,85.71935991,2.327021942,15.66874657
920.48,62.6,2.7514362,52.58
916.4,78.512,3.914645,34.71
915.71,86.342,1.7448132,8.68
913.8,68.954,2.23694,35.16
929.32,49.982,1.789552,11.34
920.8759517,74.20858416,8.161792183,15.66055566
919.84,49.532,5.9502604,91.4
920.9025993,56.99471668,2.901722608,21.67838488
919.8622252,75.40805734,1.644036217,14.79946385
913.6332677,82.66416426,1.311490874,15.61173428
913.49,51.098,5.3015478,76.05
913.26,48.254,11.4978716,89.75
918.55,52.754,3.019869,66.2
921.5654424,64.34359081,11.05326069,14.11972166
918.3,51.836,1.677705,61.38
916.8678815,81.45214955,1.876678521,27.88601462
917.8037736,77.0278835,5.352933499,19.9366652
916.4723882,75.9300745,4.900103325,19.74461351
920.3305959,72.24249065,2.815387376,18.83472065
916.12,49.082,1.7000744,77.33
917.3,73.616,2.4158952,12.99
923.2818523,48.74219853,14.15724013,17.25063181
923.21,43.862,1.2526864,85
915.6,77.918,3.5119958,24.71
913.34,57.218,3.7133204,81.77
916.75,61.574,2.5501116,35.24
918.59,51.08,4.697574,46.23
919.5763366,63.60195396,6.086013317,10.01830228
916.1,56.426,10.2451852,22.64
913.97,72.824,1.4987498,25.92
917.9558332,78.38301444,5.73771025,19.42487217
920.0422643,69.22872653,21.18064407,14.76320266
919.1,84.146,1.7224438,28.29
918.03,44.06,7.5161184,90.43
919.49,85.55,3.1764548,16.08
915.1,89.78,2.6395892,30.27
916.5427326,76.53272584,3.729839123,12.40234867
919.4138095,67.50973314,1.10993661,16.46413937
917.09,63.266,6.7331894,62.82
917.93,48.056,2.684328,82.81
913.2,63.374,7.2253162,49.18
919.76,54.284,4.2054472,17.77
921.9,78.206,5.368656,13.49
918.1,58.766,4.6304658,87.9
921.9102504,53.60209408,12.12761178,17.36394962
926.7620317,54.7048843,5.026891007,14.42540404
918.1,44.726,9.0148682,87.27
917.54,71.384,2.1698318,75.48
920.4,79.178,1.6553356,40.04
926.55,62.762,14.8309122,11.22
916.3,58.496,4.0712308,24.05
921.4118864,62.02707785,8.247016861,19.01460029
919.4216453,68.22001132,1.216893216,16.41271205
918.1,61.988,11.0504836,19.24
918.9020905,73.50249595,0.958510766,12.87453981
918.6948668,74.67577296,2.644399729,10.83953628
919.92,52.214,1.9908766,60.33
916.23,75.74,2.7514362,31.88
913.2,39.02,8.8135436,91.42
912.89,45.32,21.25093,84.09
924.72,63.518,1.3645334,7.32
912.8,42.512,11.3860246,89.77
916.4,72.968,3.1988242,19.96
920.5194575,81.37174566,2.614439223,15.82215431
921.48,76.622,4.2054472,19.08
