Country Name	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Cameroon	-17.07088499	-6.506810173	-11.13662794	-14.69965647	-6.95777624	-8.565701387	-6.940252754	61.68072219	38.12673986	67.18916519	21.92666296	31.45675984	71.19594333	0.031663233	64.75664598	26.9926756	23.34776078	23.94798041	19.66525879	2.325353889	2.902733896	3.451748715
"Congo, Dem. Rep."	-16.59606171	32.48279407	-23.74644491	-11.45361763	-10.5032724	-23.69380502	-27.50298523	-26.34205577	-40.14769452	-37.40946263	-50.73652589	-44.51976439	-45.66980942	-40.7148996	-42.29677674	-33.00354988	-34.97175834	-45.23393425	-46.84631589	-41.95540271	-41.84441104	-41.73442939
"Congo, Rep."	-14.80398198	28.47296938	-21.02672613	-10.55951954	-8.804022551	-18.86060847	-21.6523106	-49.09260263	-56.14896325	-55.25707298	-44.40519452	-60.89258443	-45.12190835	-46.03493757	-38.76831664	-40.23600525	-46.24896105	-51.14425916	-45.53936483	-44.53880474	-44.13395914	-43.75716601
Colombia	-1.324266791	2.337675609	8.246553955	-2.340137235	2.697961741	5.186922342	7.835539411	-5.198049257	-14.24117623	-5.663240324	-11.80540418	-15.00222799	-6.54610213	0.121428734	-13.63506985	-13.10241315	1.512158387	-3.983359387	-1.424860958	-4.415832031	-2.406787585	-0.564903873
Comoros	0.33695588	0.158107962	2.48465889	4.720711369	8.010964359	10.45593964	12.57489534	16.05496265	20.75456555	24.29960849	43.91142655	38.01206916	31.57917578	32.36144815	63.34551025	30.88313786	74.49136718	96.72156702	80.61167376	84.67190612	88.31134155	91.66933933
Cabo Verde	4.448394945	13.91840866	14.9277824	9.810547094	21.15207294	12.00721597	19.4764136	26.6869313	31.69492623	60.08364082	44.91219495	48.40584594	52.280873	61.15689819	74.20296859			77.25703609	80.75489022			
Costa Rica	3.692263888	17.81144503	16.99039951	21.68437224	17.00139001	15.28430526	15.48586483	23.05795068	20.30265653	14.63247501	27.03757823	16.34186584	21.20199931	23.01523144	17.47136561	24.68455494	31.46739964	25.74830837	28.78782417	35.96529703	39.57395088	42.82567901
Caribbean small states	-1.393436083	2.673504542	6.350603797	-6.406812977	-0.952773722	1.866452807	1.485046328	29.71425754	14.20509129	18.89709392	14.73208511	-33.73758426	43.63277736	55.15094048	68.45275328	88.29027239	90.80538787	96.81849937	143.6442822	100.6970249	113.8680901	122.900542
Cuba	-10.64922926	-18.79472089	-23.40160728	-20.25863367	-18.3349703	-14.84094646	-12.98199808	-18.45819629	-19.65454005	-18.90897837	-21.97605965	-14.39755342	-14.98972642	-14.83900059	-19.77513298	-20.22737182	-22.84375693	-14.87718341	-11.39222187	-12.72955002	-10.29595995	-8.108686256
Curacao																						
Cayman Islands	3.345671056																					
Cyprus	11.23172891	18.3449641	22.06945001	30.45376635	28.53391621	35.11042352	36.52708458	43.36505631	47.61066008	55.01352224	51.85830912	56.73003004	73.41193076	70.07194241	73.70474348	70.78467302	76.93260808	78.66112537			49.15784334	44.84747212
Czech Republic	-9.079781777	-14.75764051	-19.24554904	-23.03448379	-23.2908475	-21.03124367	-23.82809549	-25.1096154	-27.43144491	-17.42324661	-19.63979799	-22.34090185	-19.55623483	-22.48999431	-24.79799468	-24.6874669	-23.63212322	-26.57105213	-29.72858178	-25.73808399	-26.29549062	-29.17807323
Germany	-2.950240122	-7.744569801	-8.63346486	-9.564431485	-9.900312962	-8.195067133	-10.60102007	-15.57836308	-18.76344605	-19.08951855	-18.31823002	-19.79732855	-18.99474448	-19.06298786	-21.87660433	-20.80991868	-22.54467475	-21.01450401	-24.33062177	-24.52620374	-25.9963791	-24.23084242
Djibouti	5.418880839	-2.992646914	-1.725934833	0.189175068	5.096111173	5.174085227	10.79591973	9.496801401	8.253349729	8.101495838	24.83053035	10.83756295	14.99958023	16.15644067	18.57956797	18.01903115	33.53318568	38.2617768	38.51696482	44.3699232	48.31097527	51.86178515
Dominica	-0.349540509	-0.492373256	-2.510663935	5.810944221	7.392018255	7.855772768	1.077897671	4.733397061	11.30643022	7.80896109	20.27678576	21.75393002	24.47597929	33.96784954	33.62557258	46.29914991	49.44838109	55.20329012	55.44004125	61.72072326	66.36507182	70.53815331
Denmark	14.57184192	5.933643181	9.398843483	14.43320174	9.666007142	28.148444	14.77469487	5.188684653	0.64259389	-5.422558223	-3.316526184	-4.271685482	3.474546236	-5.00700546	-10.57798387	0.374290697	-6.19561978	-10.09464483	-13.06773187	-12.14742697	-19.40839836	-25.91027262
Dominican Republic	4.918604334	16.55360436	15.46478771	24.85372155	29.66156103	37.24702636	47.124595	57.83075696	59.14351045	67.58984104	67.14302011	72.06672386	66.85415848	67.60039444	72.03418194	74.31597278	78.77111766	80.25883283	79.3987201	86.27390634	91.62325518	96.42837607
Algeria	4.888107041	14.27060532	15.07308777	11.41996068	16.30253016	16.23640262	16.46431575	18.89734042	24.7530604	25.67726956	21.50297404	23.27647726	31.13932917	31.37827985	37.38585736	42.47189374	47.80611272	50.70134343	51.10967283	57.52110974	61.86968473	65.78502652
East Asia & Pacific (excluding high income)	16.41029239	23.37255094	12.71207735	25.62102441	21.95526388	20.45265999	75.71329165	17.84597858	5.351384197	0.553224327	4.830553264	26.39756322	23.23408781	45.13300911	53.30440811	82.23223225	71.29608707	80.21001382	96.42421266	100.0009126	117.9914763	124.6840578
Early-demographic dividend	14.86528653	20.55361946	8.539794862	18.37990324	14.63765702	14.02688923	70.13833678	21.38379385	15.32260241	8.160631688	10.14783662	27.7700877	18.95781607	24.53119877	27.7181291	45.36063646	38.56101957	18.85355353	25.80979807	19.17341459	40.81356281	37.49792177
East Asia & Pacific	12.9745157	18.67476917	11.13142119	22.14968408	19.97315836	19.53494849	65.49243071	21.54149348	15.94204096	11.62349673	17.10559385	31.87375773	29.32930356	47.21553946	50.99038927	74.85897358	66.67119189	70.71254196	83.98520828	84.42288124	98.7456736	104.7285886
Europe & Central Asia (excluding high income)	-5.956253004	-14.18843697	-18.05228877	-26.3432817	-28.2167001	-27.37269923	-33.05791507	-18.20296832	-34.24498476	-29.33501341	-31.46460326	-24.45835886	-15.27378066	-33.03651946	-31.09768959	-26.20082123	-27.83422836	-21.18722015	-30.61168969	-28.01896326	-24.1866574	-23.50764438
Europe & Central Asia	-3.456048121	-9.313171071	-12.30652996	-16.72347694	-17.32885942	-16.15961614	-19.80885554	-12.98314599	-22.33224202	-19.29234542	-20.32183735	-16.84205242	-11.01778153	-20.47499214	-19.75438005	-17.18166547	-18.49518719	-15.56285635	-22.94613839	-20.80278447	-19.93848953	-19.71623656
Ecuador	3.792220345	7.255041545	8.912761688	18.67443919	26.32978254	33.67302418	34.11877359	31.76829089	21.10994922	28.98826125	33.40096849	38.0977731	42.97838178	48.8418064	52.46309101	57.14966537	61.38272935	54.25824051	60.23701704	63.06392697	67.18896374	70.9249596
"Egypt, Arab Rep."	1.973956382	6.590125202	8.532479587	5.428077161	11.80664132	14.47817541	18.84884463	22.73151747	27.94243984	32.60787386	34.64430225	45.77757507	52.32802878	60.57424455	75.25998615	84.26855125	91.40842277	93.91331865	91.46101408	101.4753789	107.2497543	112.4343926
Euro area	-0.063426567	-3.235918134	-5.242562935	-5.125046052	-3.993047561	-2.252461727	-2.886361937	-4.159255871	-5.671578755	-4.533150511	-4.182299817	-3.922003024	-2.0309643	-2.12455502	-2.643962437	-3.259366206	-4.161346368	-5.626934846	-10.74133227	-10.00106997	-12.09585363	-12.41111102
Eritrea	-0.017456009	10.59255356	3.674100202	8.044845693	12.47518808	25.51753755	36.2124975	40.04000191	48.09762928	49.35227321	41.68413492	33.62005224	34.37453742	35.90448079	34.21196447	34.42574511	45.98234293	48.55769797	42.45126544	45.26043389	47.30209978	49.25122003
Spain	2.467015233	5.166233675	0.190405049	4.421908927	8.902979641	5.60543411	12.46640363	17.1956602	23.94007302	29.89267539	28.733221	35.47869707	39.041863	43.55458983	48.9780394	46.66047683	49.96235687	38.01909192	27.09437002	20.88849874	20.62919946	18.72013984
Estonia	-7.635956894	-26.04128373	-37.48583922	-38.59641386	-42.75879271	-41.55610161	-42.43456006	-65.31965705	-67.55717887	-68.14901841	-67.8418606	-58.85201034	-65.13591568	-64.10577108	-64.05350924	-64.81568372	-57.86908693	-60.79411358	-66.27260457	-59.18942341	-56.30037939	-58.24717823
